,titles,abstarcts
0,"
                  PCA versus LDA
","""... In the context of the appearance-based paradigm for object recognition, it is generally believed that algorithms based on LDA (Linear Discriminant Analysis) are superior to those based on PCA (Principal Components Analysis) . In this communication we show that this is not always the case. We present ..."""
1,"
                  Latent dirichlet allocation
                  ","""... We describe latent Dirichlet allocation (LDA), a generative probabilistic model for collections of discrete data such as text corpora. LDA is a three-level hierarchical Bayesian model, in which each item of a collection is modeled as a finite mixture over an underlying set of topics. Each topic is,  ..."""
2,"
LDA
","""... improvement and tailoring for near-wall turbulence ..."""
3,"
                  Modeling annotated data
                  ","""... We consider the problem of modeling annotated data—data with multiple types where the instance of one type (such as a caption) serves as a description of the other type (such as an image). We describe three hierarchical probabilistic mixture models that are aimed at such data, culminating in the Cor ..."""
4,"
                  A direct lda algorithm for high-dimensional data with application to face recognition
                  ","""... Linear Discriminant Analysis (LDA) has been successfully used as a dimensionality reduction technique ..."""
5,"
                  Face recognition using laplacianfaces
                  ","""... Abstract—We propose an appearance-based face recognition method called the Laplacianface approach. By using Locality Preserving Projections (LPP), the face images are mapped into a face subspace for analysis. Different from Principal Component Analysis (PCA) and Linear Discriminant Analysis (LDA) wh ..."""
6,"
                  The Author-Topic Model for Authors and Documents
                  ","""... We introduce the author-topic model, a generative model for documents that extends Latent Dirichlet Allocation (LDA; Blei, Ng, & Jordan, 2003) to include authorship information. Each author is associated with a multinomial distribution over topics and each topic is associated with a multinomial  ..."""
7,"
                  Generalized Discriminant Analysis Using a Kernel Approach
                  ","""... We present a new method that we call Generalized Discriminant Analysis (GDA) to deal with nonlinear discriminant analysis using kernel function operator. The underlying theory is close to the Support Vector Machines (SVM) insofar as the GDA method provides a mapping of the input vectors into high di ..."""
8,"
                  Why direct LDA is not equivalent to LDA
","""... In this paper, we present counterarguments against the direct LDA algorithm (D-LDA), which was previously claimed to be equivalent to Linear Discriminant Analysis (LDA). We show from Bayesian decision theory that D-LDA is actually a special case of LDA by directly taking the linear space of class me ..."""
9,"
                  Rethinking LDA: Why Priors Matter
                  ","""... Implementations of topic models typically use symmetric Dirichlet priors with fixed concentration parameters, with the implicit assumption that such “smoothing parameters ” have little practical effect. In this paper, we explore several classes of structured priors for topic models. We find that an  ..."""
10,"
                  Front End Factor Analysis for Speaker Verification
                  ","""... Abstract—This paper presents an extension of our previous work which proposes a new speaker representation for speaker verification. In this modeling, a new low-dimensional speaker- and channel-dependent space is defined using a simple factor analysis. This space is named the total variability space ..."""
11,"
                  Labeled LDA: A supervised topic model for credit attribution in multi-labeled corpora
                  ","""... A significant portion of the world’s text is tagged by readers on social bookmarking websites. Credit attribution is an inherent problem in these corpora because most pages have multiple tags, but the tags do not always apply with equal specificity across the whole document. Solving the credit attri ..."""
12,"
LDA at Work
                  ","""... The Advanced Measurement Approach in the Basel II Accord permits an unprecedented amount of flexibility in the methodology used to assess OR cap-ital requirements. In this paper, we present the capital model developed at Deutsche Bank and implemented in its official EC process. The model follows the ..."""
13,"
                  A(LDA,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
14,"
                  A(LDA,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NVF (ZGEBAL) balances a complex general matrix in order to improve the accuracy of computed eigenvalues  ..."""
15,"
                  Parallelism for LDA
","""... As parallelism is very importtant for large scale of data, we want to use different technnology to paraallelize the lattent dirichlet allocaation algorithm. Latent dirichlet allocattion (LLDA) is a generative model that allows sets of observations to be explained by unobservved groups whhich explain ..."""
16,"
                  DiscLDA: Discriminative Learning for Dimensionality Reduction and Classification
                  ","""... Probabilistic topic models have become popular as methods for dimensionality reduction in collections of text documents or images. These models are usually treated as generative models and trained using maximum likelihood or Bayesian methods. In this paper, we discuss an alternative: a discriminativ ..."""
17,"
                  On an Equivalence between PLSI and LDA
","""... Latent Dirichlet Allocation (LDA) is a fully generative approach to language modelling which overcomes the inconsistent generative semantics of Probabilistic Latent Semantic Indexing (PLSI). This paper shows that PLSI is a maximum a posteriori estimated LDA model under a uniform Dirichlet prior, the ..."""
18,"
                  Discriminant Analysis of Principal Components for Face Recognition
                  ","""... . In this paper we describe a face recognition method based on PCA (Principal Component Analysis) and LDA (Linear Discriminant Analysis). The method consists of two steps: first we project the face image from the original vector space to a face subspace via PCA, second we use LDA to obtain a linear  ..."""
19,"
                  Random Sampling LDA for Face Recognition
                  ","""... Linear Discriminant Analysis (LDA) is a popular feature extraction technique for face recognition. However, It often suffers from the small sample size problem when dealing with the high dimensional face data. Fisherface and Null Space LDA (N-LDA) are two conventional approaches to address this prob ..."""
20,"
                  Resampling lda/qr and pca+lda for face recognition
                  ","""... Abstract. Principal Component Analysis (PCA) plus Linear Discriminant Analysis (LDA) (PCA+LDA) and LDA/QR are both two-stage methods that deal with the small sample size (SSS) problem in traditional LDA. When applied to face recognition under varying lighting conditions and different facial expressi ..."""
21,"
                  Graph embedding and extension: A general framework for dimensionality reduction
                  ","""... Over the past few decades, a large family of algorithms—supervised or unsupervised; stemming from statistics or geometry theory—has been designed to provide different solutions to the problem of dimensionality reduction. Despite the different motivations of these algorithms, we present in this paper ..."""
22,"
                  Generalized Spectral Bounds for Sparse LDA
","""... We present a discrete spectral framework for the sparse or  cardinality-constrained  solution of a generalized Rayleigh quotient. This NP-hard combinatorial optimization problem is central to supervised learning tasks such as sparse LDA, feature selection and relevance ranking for classification. We ..."""
23,"
                  Topics over time: A non-Markov continuous-time model of topical trends
                  ","""... This paper presents an LDA-style topic model that captures not only the low-dimensional structure of data, but also how the structure changes over time. Unlike other recent work that relies on Markov assumptions or discretization of time, here each topic is associated with a continuous distribution  ..."""
24,"
                  PCA versus LDA
","""... AbstractÐIn the context of the appearance-based paradigm for object recognition, it is generally believed that algorithms based on LDA (Linear Discriminant Analysis) are superior to those based on PCA (Principal Components Analysis). In this communication, we show that this is not always the case. W ..."""
25,"
                  Application of LDA to Speaker Recognition
                  ","""... The speaker recognition task falls under the general problem of pattern classification. Speaker recognition as a pattern classification problem, its ultimate objective is design of a system that classifies the vector of features in different classes by partitioning the feature space into optimal spe ..."""
26,"
                  KPCA plus LDA: a complete kernel Fisher discriminant framework for feature extraction and recognition
                  ","""...  This paper examines the theory of kernel Fisher discriminant analysis (KFD) in a Hilbert space and develops a two-phase KFD framework, i.e., kernel principal component analysis (KPCA) plus Fisher linear discriminant analysis (LDA). This framework provides novel insights into the nature of KFD. Base ..."""
27,"
                  Robust LDA Classification by Subsampling
                  ","""... In this paper we present a new method which enables a robust calculation of the LDA classification rule, thus making the recognition of objects under non-ideal conditions possible, i.e., in situations when objects are occluded or they appear on a varying background, or when their images are corrupte ..."""
28,"
                  Ensemble LDA for Face Recognition
                  ","""... Abstract. Linear Discriminant Analysis (LDA) is a popular feature extraction technique for face image recognition and retrieval. However, It often suffers from the small sample size problem when dealing with the high dimensional face data. Two-step LDA (PCA+LDA) [1–3] is a class of conventional appr ..."""
29,"
                  An improved LDA approach
                  ","""... Abstract—Linear discrimination analysis (LDA) technique is an important and well-developed area of image recognition and to date many linear discrimination methods have been put forward. Despite these efforts, there persist in LDA at least three areas of weakness. The first weakness is that not all  ..."""
30,"
                  Block LDA for Face Recognition
                  ","""... Abstract. Linear Discriminant Analysis (LDA) technique is an important and well-developed area of image recognition and to date many linear discrimination methods have been put forward. Despite these efforts, there persist in the traditional LDA some weaknesses. In this paper, we propose a new LDA-b ..."""
31,"
                  Algorithms of the LDA model
                  ","""... We review three algorithms for Latent Dirichlet Allo-cation (LDA). Two of them are variational inference ..."""
32,"
                    Incremental PCA-LDA Algorithm
                  ","""... In this paper a recursive algorithm of calculating the discriminant features of the PCA-LDA procedure is introduced. This algorithm computes the principal components of a sequence of vectors incrementally without estimating the covariance matrix (so covariance-free) and at the same time computing th ..."""
