,short_text
0,Beardo opens access to the New Godfather Perfume
1,"Couple gets married wearing PPE kits at Rajasthan COVID-19 centre, video surfaces"
2,Will Centre entirely fund COVID-19 vaccines?: Punjab CM asks PM Modi
3,"Jehan Daruvala creates history, becomes first Indian to win Formula 2 race"
4,Kohli becomes first Indian captain to win T20I series in all SENA countries
5,Umpires should call dead ball if a batsman tries to play a switch hit: Ian Chappell
6,Video of a child crying in stands during Australia-India T20I goes viral
7,Startup makes ₹15L home office amid COVID-19 that can be shipped worldwide
8,"SIMI member, absconding since last 19 years, arrested: Delhi Police"
9,Mystery illness in US diplomats likely due to 'directed' radio frequency: US report
10,Man mistakenly orders inflatable Grinch that's bigger than his house for daughter
11,"Italy's COVID-19 death toll rises to 2nd-highest in Europe at 60,078"
12,Captaining Australia was fun until Hardik came out: Matthew Wade
13,"Kohli best player I've ever seen, his shots today were extraordinary: Langer"
14,Self-driving drone with 70% reusable system for launching satellites unveiled
15,Mastercard to investigate child abuse allegations against Pornhub
16,Take strict action against Amazon for causing misery to traders: CAIT to ED
17,Don't need to get a certificate of patriotism from BJP: Owaisi
18,BYJU'S Founder among Bloomberg's 50 people who changed global business
19,SpaceX launches updated Dragon cargo ship to the ISS for 1st time
20,U'khand to get export hub in all districts to promote local products
21,"Air quality in Noida, Ghaziabad 'severe' for 3rd day in a row"
22,US must consult Gulf states on reviving Iran nuclear deal: S Arabia
23,Death toll from coal mine accident in China rises to 23
24,Aus' Fraser Island residents told to leave as bushfire approaches
25,Twin monkeys of world's smallest species of monkey born in UK zoo
26,Hawker sells Chetan Bhagat his own book and takes selfie after recognising him
27,I am not Dhoni: Wade heard saying on stump mic after missed stumping
28,"I'm proud we won T20I series without established players like Rohit, Bumrah: Kohli"
29,34-yr-old ex-Brazilian boxer arrested for allegedly killing her 61-yr-old husband
30,Yellow alert avalanche warning issued for higher reaches of J&K districts
31,Wire noose around tiger's neck captured by Ranthambore camera traps
32,I stand with BJP & farmers; govt always thinks of farmers' betterment: Sunny
33,"Girl accuses 4 of gang-rape in moving van, filming act in UP's Bulandshahr"
34,"If deadlock continues, farmers' protest won't be limited to Delhi: Pawar"
35,Delhi man killed after being shot 7 times; CCTV shows woman chasing attackers away
36,"Italian man walks 450 km in lockdown after argument with wife; fined ₹36,000"
37,Massive fire guts New York church housing iconic Liberty Bell; pics surface
38,Pune hospital starts Phase-2 trials of Russia's Sputnik V vaccine
39,Hyd school wins national inter-school Cryptic Crossword Contest
40,"I thought Natarajan should be Man of the Match, he had a good game: Pandya"
41,Time for Pandya to establish in finishing role and play match-winning knocks: Kohli
42,Musk's Boring Company shares a glimpse of Las Vegas loop station
43,UAE target of cyberattacks after forming ties with Israel: Official
44,Tesla asked to give ₹1 cr to used car buyer for hiding damage in China
45,Probe ordered into Bajrang Dal leader's 'beat Hindus if they visit church' speech
46,Man steals ₹1.64L from ex-employer's office in Pune to repay debts
47,2 men aged 20 & 23 die after their bike skids along slope in Pune
48,Israel is putting Palestinians in concentration camps: Saudi Prince
49,7 Pak COVID-19 patients die after hospital runs out of oxygen supply 
50,"Chinese court tells Dutch collector to return 1,000-yr-old Buddha statue"
51,"Japan, France, US plan their 1st joint military drills in May: Report"
