,time,tweets
0,07-12-2020 02:21,"Joe Biden wouldn’t have defeated Donald Trump in the election without LGBT+ voters, analysis shows https://t.co/aQEZchYh2d #gayavengers"
1,07-12-2020 02:21,RT @kylegriffin1: Raphael Warnock asks Kelly Loeffler point blank whether Trump lost Georgia and she cannot answer. She dodges again. Joe B…
2,07-12-2020 02:21,RT @WaywardWinifred: Neera Tanden's unremorseful bullying should disqualify her from Biden's cabinet | Arwa Mahdawi https://t.co/zYSLhKyKF3
3,07-12-2020 02:21,RT @kylegriffin1: Raphael Warnock asks Kelly Loeffler point blank whether Trump lost Georgia and she cannot answer. She dodges again. Joe B…
4,07-12-2020 02:21,What’s Joe Biden’s plan to have domestic terrorist and chief T**** removed from Home Alone 2?
5,07-12-2020 02:21,"RT @JacueQ: When the media starts repeating over and over and over that “the election has been called for Joe Biden,” there is a real fraud…"
6,07-12-2020 02:21,RT @ryanobles: GA Lt. Gov Geoff Duncan- who voted for and supports President Trump- tells @jaketapper there is no question that “Joe Biden…
7,07-12-2020 02:21,"@MarcRolfe1 @chidondollars @TrevorTime16 @softsoyleaf @ewolf_7 @JoeBiden @realDonaldTrump If coronavirus is real, i… https://t.co/gpT0p9ZVd8"
8,07-12-2020 02:21,RT @hwinkler4real: Hello Georgia the state : Since Joe Biden IS our next President... why not vote to give him the CHANCE to succeed for  A…
9,07-12-2020 02:21,@gtconway3d Joe Biden won the presidential election Fair and square she and the Trumpers need to get over it
10,07-12-2020 02:21,"RT @RobAnderson2018: Joe Biden will be your president at noon on January 20th, 2021."
11,07-12-2020 02:21,RT @TheEconomist: Click the link below to find our latest coverage of the presidential transition from Donald Trump to Joe Biden on our US…
12,07-12-2020 02:21,RT @kylegriffin1: Raphael Warnock asks Kelly Loeffler point blank whether Trump lost Georgia and she cannot answer. She dodges again. Joe B…
13,07-12-2020 02:21,"When the media starts repeating over and over and over that “the election has been called for Joe Biden,” there is… https://t.co/6Dyk41PRnS"
14,07-12-2020 02:21,"RT @nytimes: Breaking News: President-elect Joe Biden has selected Xavier Becerra, a former congressman who is now the Democratic attorney…"
15,07-12-2020 02:21,@A_Darband99 @Agnosticam من که سرچ میکنم فقط عکسهای قدیمیش میاد که به دروغ گفته بودن مال امساله.  شما اگه دیدی به م… https://t.co/2ZhXmzUAgs
16,07-12-2020 02:21,RT @HitchwithAri: #ElectionIntegrity https://t.co/q7faOBUd60
17,07-12-2020 02:21,RT @jomalleydillon: Winning the battle for the soul of the internet. Hats off to our incredible team!! https://t.co/T4C4UBPr7q
18,07-12-2020 02:20,"RT @dbelemlopes: No dia 14, os EUA confirmarão a eleição presidencial de Joe Biden. A esta altura, quando praticamente todos os líderes do…"
19,07-12-2020 02:20,Joe Biden devrait faire appel à Xavier Becerra pour diriger le HHS – Crumpe https://t.co/acGc6QwHsg
20,07-12-2020 02:20,RT @WaywardWinifred: Neera Tanden's unremorseful bullying should disqualify her from Biden's cabinet | Arwa Mahdawi https://t.co/zYSLhKyKF3
21,07-12-2020 02:20,RT @jimsciutto: Joe Biden's already more popular than Trump's ever been - CNNPolitics https://t.co/L9w4lZokan
22,07-12-2020 02:20,RT @WaywardWinifred: Neera Tanden's unremorseful bullying should disqualify her from Biden's cabinet | Arwa Mahdawi https://t.co/zYSLhKyKF3
23,07-12-2020 02:20,"RT @kaitlancollins: HHS Secretary Azar refers to Joe Biden as “the vice president"" on Fox News and does not respond when Chris Wallace inte…"
24,07-12-2020 02:20,"things i miss : 5SOS, the feeling when u come out of a movie theater and it’s still light outside, concerts, the fe… https://t.co/0nJlpBwORE"
25,07-12-2020 02:20,"RT @tylerpager: SCOOP: Joe Biden has selected Rochelle Walensky, the chief of infectious diseases at Massachusetts General Hospital, to run…"
26,07-12-2020 02:20,RT @1liners: @ProjectLincoln @JoeBiden Joe Biden was part of a WH admin that turned a fiscal crisis left by a Republican into one of the lo…
27,07-12-2020 02:20,"RT @LifeNewsHQ: BREAKING:  Joe Biden says he will name radical pro-abortion California AG Xavier Becerra as HHS director if he wins.

Becer…"
28,07-12-2020 02:20,"The issue is not what I did. Not a single person, not one single person—even that thug Xxx and his compatriots—have… https://t.co/v4pzC6GjPu"
29,07-12-2020 02:20,"@KLoeffler @77WABCradio @ReverendWarnock Kellie, you have a major problem; you’re using the same playbook that Dona… https://t.co/iMjDP5mXPb"
30,07-12-2020 02:20,RT @ProfBlacktruth: Do you seriously think the same people who wrote the drug laws (people like Joe Biden!) want to do us any favors? White…
31,07-12-2020 02:20,RT @hwinkler4real: Hello Georgia the state : Since Joe Biden IS our next President... why not vote to give him the CHANCE to succeed for  A…
32,07-12-2020 02:20,"@TrevorTime16 @softsoyleaf @ewolf_7 @JoeBiden If coronavirus is real, it will be on the planet for the next 150+yea… https://t.co/95LODHmT2u"
33,07-12-2020 02:20,"RT @WWorld2019: “The remedy for psychosis is reality checks.  In the case of a pathological &amp; criminal president, recommending prosecution…"
34,07-12-2020 02:20,RT @NickAdamsinUSA: Should Joe Biden concede?
35,07-12-2020 02:20,RT @WalshFreedom: I just watched an actual Republican Congressman on national television acknowledge that Joe Biden won the election and wi…
36,07-12-2020 02:20,"RT @lopezdoriga: Joe Biden escogió a Xavier Becerra para dirigir el Departamento de Sanidad y de Servicios Humanos.

Becerra, que actualmen…"
37,07-12-2020 02:20,RT @DanBoydNM: Breaking: Gov. Michelle Lujan Grisham will not be leaving #NM for a Cabinet position in President-elect Joe Biden's administ…
38,07-12-2020 02:20,"RT @tylerpager: SCOOP: Joe Biden has selected Rochelle Walensky, the chief of infectious diseases at Massachusetts General Hospital, to run…"
39,07-12-2020 02:20,RT @WaywardWinifred: Neera Tanden's unremorseful bullying should disqualify her from Biden's cabinet | Arwa Mahdawi https://t.co/zYSLhKyKF3
40,07-12-2020 02:20,@boogerbirdbrain @JENFL23 @KLoeffler Possibly but I actually know what you’re referring to in regards to joe Biden.… https://t.co/SlGvLIgRpb
